


Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2016-02-07,7,February,2016,49,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",1,38,50,5,38,43
2013-07-16,16,July,2013,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",21,38,50,231,798,1029
2015-07-16,16,July,2015,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",23,38,50,253,874,1127
2014-01-25,25,January,2014,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",30,38,50,330,1140,1470
2016-01-25,25,January,2016,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",30,38,50,330,1140,1470
2014-01-28,28,January,2014,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",16,38,50,176,608,784
2016-01-28,28,January,2016,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",17,38,50,187,646,833
2014-05-09,9,May,2014,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",12,38,50,132,456,588
2016-05-09,9,May,2016,48,Adults (35-64),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",11,38,50,121,418,539
2013-07-19,19,July,2013,47,Adults (35-64),M,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",16,38,50,80,608,688
2016-06-14,14,June,2016,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
2014-06-23,23,June,2014,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
2016-06-23,23,June,2016,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",3,344,540,523,1032,1555
2012-06-04,4,June,2012,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,198,688,886
2011-06-04,4,June,2011,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",4,344,540,395,1376,1771
2013-03-19,19,March,2013,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2015-03-19,19,March,2015,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2013-04-16,16,April,2013,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2015-04-16,16,April,2015,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2013-09-18,18,September,2013,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2015-09-18,18,September,2015,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2013-10-25,25,October,2013,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2015-10-25,25,October,2015,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2013-12-15,15,December,2013,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2015-12-15,15,December,2015,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2014-05-26,26,May,2014,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2016-05-26,26,May,2016,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2014-06-14,14,June,2014,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2016-06-14,14,June,2016,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,99,344,443
2014-05-05,5,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35
2014-05-05,5,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,19,21,40
2016-05-05,5,May,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,18,20,38
2016-05-05,5,May,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,18,20,38
2014-05-16,16,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31
2014-05-16,16,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,16,17,33
2016-05-16,16,May,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,12,13,25
2016-05-16,16,May,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,13,14,27
2014-05-29,29,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29
2016-05-29,29,May,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,16,17,33
2014-06-21,21,June,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35
2016-06-21,21,June,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29
2014-06-23,23,June,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,13,14,27
2014-06-23,23,June,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,24,26,50
2016-06-23,23,June,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,14,1,2,13,14,27
2016-03-15,15,March,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,3,9,25,38,27,65
2016-03-15,15,March,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,25,9,25,319,225,544
2016-03-15,15,March,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,18,9,25,230,162,392
2014-06-11,11,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,12,9,25,153,108,261
2014-06-11,11,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,4,9,25,51,36,87
2016-06-11,11,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,11,9,25,140,99,239
2016-06-11,11,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,2,9,25,26,18,44
2014-06-12,12,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,28,9,25,357,252,609
2014-06-12,12,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,20,9,25,255,180,435
2016-06-12,12,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,26,9,25,332,234,566
2016-06-12,12,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,19,9,25,242,171,413
2014-06-14,14,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,21,9,25,268,189,457
2014-06-14,14,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,29,9,25,370,261,631
2016-06-14,14,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,20,9,25,255,180,435
2016-06-14,14,June,2016,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,27,9,25,344,243,587
2014-06-26,26,June,2014,35,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,1,9,25,13,9,22
